ID	Par1	Par2	gener
0002453	SFS150	6/8	1
0002464A	SFS150	6/8	1
0002464B	SFS150	6/8	1
0002464C	SFS150	6/8	1
0002464D	SFS150	6/8	1
0002473	SFS150	6/8	1
0002476B	SFS150	6/8	1
0002476C	SFS150	6/8	1
0002481A	TL1	10/3	1
0002481B	TL1	10/3	1
0002481C	TL1	10/3	1
0002481D	TL1	10/3	1
0002485A	TL1	10/3	1
0002485B	TL1	10/3	1
0002487B	TL1	10/3	1
0002487C	TL1	10/3	1
0002505B	TL1	10/3	1
0002511A	TL1	10/3	1
0002511B	TL1	10/3	1
0002511C	TL1	10/3	1
0002531A	PC110	10/3	1
0002531B	PC110	10/3	1
0002531C	PC110	10/3	1
0002538A	PC110	10/3	1
0002538B	PC110	10/3	1
0002538C	PC110	10/3	1
0002538D	PC110	10/3	1
0002538E	PC110	10/3	1
0002544B	PC110	10/3	1
0002591	SFS150	6/8	1
0002593A	SFS150	6/8	1
0002603A	SFS150	6/8	1
0002614B	SFS150	6/8	1
0002616C	SFS150	6/8	1
0002616D	SFS150	6/8	1
0002617B	SFS150	6/8	1
0002617C	SFS150	6/8	1
0002617D	SFS150	6/8	1
0002618A	SFS150	6/8	1
0002619A	SFS150	6/8	1
0002619B	SFS150	6/8	1
0002619C	SFS150	6/8	1
0002619D	SFS150	6/8	1
0002619E	SFS150	6/8	1
0002623A	SFS150	6/8	1
0002625B	SFS150	6/8	1
0002626A	SFS150	6/8	1
0002627A	SFS150	6/8	1
0002627C	SFS150	6/8	1
0002627D	SFS150	6/8	1
0002628A	SFS150	6/8	1
0002629B	SFS150	6/8	1
0002635B	TL1	10/3	1
0002636A	TL1	10/3	1
0002638A	TL1	10/3	1
0002643C	TL1	10/3	1
0002648B	TL1	10/3	1
0002655A	TL1	10/3	1
0002655B	TL1	10/3	1
0002655C	TL1	10/3	1
0002656A	TL1	10/3	1
0002656B	TL1	10/3	1
0002657A	TL1	10/3	1
0002657B	TL1	10/3	1
0002664A	TL1	10/3	1
0002664B	TL1	10/3	1
0002669B	TL1	10/3	1
0002672A	TL1	10/3	1
0002672B	TL1	10/3	1
0002672C	TL1	10/3	1
0002675C	TL1	10/3	1
0002687C	EJULU	SFS150	1
0002690B	EJULU	SFS150	1
0002718A	EJULU	SFS150	1
0002718D	EJULU	SFS150	1
0002732A	TL1	10/3	1
0002732B	TL1	10/3	1
0002732C	TL1	10/3	1
0002741A	TL1	10/3	1
0002741C	TL1	10/3	1
0002741D	TL1	10/3	1
0002746B	TL1	10/3	1
0002746C	TL1	10/3	1
0002751A	TL1	10/3	1
0002751B	TL1	10/3	1
0002776B	TL1	10/3	1
0002776C	TL1	10/3	1
0002781A	SFS150	6/8	1
0002781B	SFS150	6/8	1
0002781C	SFS150	6/8	1
0002782	SFS150	6/8	1
0002782A	SFS150	6/8	1
0002783B	SFS150	6/8	1
0002790	SFS150	6/8	1
0002799A	SFS150	6/8	1
0002799B	SFS150	6/8	1
0002799C	SFS150	6/8	1
0002801B	SFS150	6/8	1
0002801C	SFS150	6/8	1
0002813A	SFS150	6/8	1
0002813B	SFS150	6/8	1
0002820A	SFS150	6/8	1
0002820B	SFS150	6/8	1
0002861C	PC110	10/3	1
0002864A	PC110	10/3	1
0002881B	MRTM1	TL1	1
0002886	MRTM1	TL1	1
0002889	MRTM1	TL1	1
0002891B	MRTM1	TL1	1
0002912A	MRTM1	TL1	1
0002912B	MRTM1	TL1	1
0002989A	SFS150	12/108	1
0002989B	SFS150	12/108	1
0002989C	SFS150	12/108	1
0002989D	SFS150	12/108	1
0002989E	SFS150	12/108	1
0002992A	SFS150	12/108	1
0002992B	SFS150	12/108	1
0002992C	SFS150	12/108	1
0002992D	SFS150	12/108	1
0002997A	SFS150	12/108	1
0002997B	SFS150	12/108	1
0002997D	SFS150	12/108	1
0002998A	SFS150	12/108	1
0002998B	SFS150	12/108	1
0002999A	SFS150	12/108	1
0002999B	SFS150	12/108	1
0002999C	SFS150	12/108	1
0002999D	SFS150	12/108	1
0002999E	SFS150	12/108	1
0003006A	SFS150	12/108	1
0003006B	SFS150	12/108	1
0003012A	SFS150	12/108	1
0003012B	SFS150	12/108	1
0003012C	SFS150	12/108	1
0003012D	SFS150	12/108	1
0003020A	SFS150	12/108	1
0003020D	SFS150	12/108	1
0003020E	SFS150	12/108	1
0003024A	SFS150	12/108	1
0003024B	SFS150	12/108	1
0003024C	SFS150	12/108	1
0003028C	SFS150	12/108	1
0003038A	PC110	10/3	1
0003041A	PC110	10/3	1
0003041B	PC110	10/3	1
0003066A	PC110	10/3	1
0003148B	TL1	12/108	1
0003163	TL1	12/108	1
0003173A	TL1	12/108	1
0003173B	TL1	12/108	1
0003178B	TL1	12/108	1
0003180	SFS150	12/108	1
0003190A	SFS150	12/108	1
0003192A	SFS150	12/108	1
0003192B	SFS150	12/108	1
0003192C	SFS150	12/108	1
0003197A	SFS150	12/108	1
0003197B	SFS150	12/108	1
0003197C	SFS150	12/108	1
0003199A	SFS150	12/108	1
0003199B	SFS150	12/108	1
0003199C	SFS150	12/108	1
0003199D	SFS150	12/108	1
0003200A	SFS150	12/108	1
0003200B	SFS150	12/108	1
0003200C	SFS150	12/108	1
0003200D	SFS150	12/108	1
0003215A	SFS150	12/108	1
0003215B	SFS150	12/108	1
0003225A	SFS150	12/108	1
0003234A	PC110	10/3	1
0003292B	12/108	SFS150	1
0003292C	12/108	SFS150	1
0003333A	SFS150	12/108	1
0003333B	SFS150	12/108	1
0003333C	SFS150	12/108	1
0003333D	SFS150	12/108	1
0003335A	SFS150	12/108	1
0003335B	SFS150	12/108	1
0003335D	SFS150	12/108	1
0003336A	SFS150	12/108	1
0003336C	SFS150	12/108	1
0003339D	SFS150	12/108	1
0003341A	SFS150	12/108	1
0003341B	SFS150	12/108	1
0003346A	SFS150	12/108	1
0003350A	SFS150	12/108	1
0003350B	SFS150	12/108	1
0003350C	SFS150	12/108	1
0003350D	SFS150	12/108	1
0003362B	SFS150	12/108	1
0003362C	SFS150	12/108	1
0003362D	SFS150	12/108	1
0003366A	SFS150	12/108	1
0003366B	SFS150	12/108	1
0003369C	SFS150	12/108	1
0003380A	SFS150	12/108	1
0003380B	SFS150	12/108	1
0003380C	SFS150	12/108	1
0003380D	SFS150	12/108	1
0003380E	SFS150	12/108	1
0003380F	SFS150	12/108	1
0003415A	PC110	10/3	1
0003423A	PC110	10/3	1
0003423C	PC110	10/3	1
0003437	SFS150	12/108	1
0003440A	SFS150	12/108	1
0003440B	SFS150	12/108	1
0003444A	SFS150	12/108	1
0003444B	SFS150	12/108	1
0003445A	SFS150	12/108	1
0003448	SFS150	12/108	1
0003449E	SFS150	12/108	1
0003455A	SFS150	12/108	1
0003455B	SFS150	12/108	1
0003459B	SFS150	12/108	1
0003468A	SFS150	12/108	1
0003468C	SFS150	12/108	1
0003475A	SFS150	12/108	1
0003475B	SFS150	12/108	1
0003475C	SFS150	12/108	1
0003476B	SFS150	12/108	1
0003480A	SFS150	12/108	1
0003480B	SFS150	12/108	1
0003480C	SFS150	12/108	1
0003480D	SFS150	12/108	1
0003499A	SFS150	10/3	1
0003499B	SFS150	10/3	1
0003506A	SFS150	10/3	1
0003512A	SFS150	12/108	1
0003512B	SFS150	12/108	1
0003516A	SFS150	12/108	1
0003516B	SFS150	12/108	1
0003516D	SFS150	12/108	1
0003516F	SFS150	12/108	1
0003518A	SFS150	12/108	1
0003518B	SFS150	12/108	1
0003521B	SFS150	12/108	1
0003522	SFS150	12/108	1
0003523A	SFS150	12/108	1
0003523B	SFS150	12/108	1
0003523C	SFS150	12/108	1
0003523D	SFS150	12/108	1
0003523E	SFS150	12/108	1
0003547	12/108	SFS150	1
0003549	12/108	SFS150	1
0003581A	10/3	SFS150	1
0003581B	10/3	SFS150	1
0003628A	SFS150	10/3	1
0003628B	SFS150	10/3	1
0003631B	SFS150	10/3	1
0003631C	SFS150	10/3	1
0003631D	SFS150	10/3	1
0003631E	SFS150	10/3	1
0003638A	SFS150	10/3	1
0003638C	SFS150	10/3	1
0003643B	SFS150	10/3	1
0003643E	SFS150	10/3	1
0003643F	SFS150	10/3	1
0003660C	SFS150	10/3	1
0003661A	SFS150	10/3	1
0003661C	SFS150	10/3	1
0003661D	SFS150	10/3	1
0003663A	SFS150	10/3	1
0003681B	SFS150	10/3	1
0003682A	SFS150	10/3	1
0003682B	SFS150	10/3	1
0003682C	SFS150	10/3	1
0003690B	SFS150	10/3	1
0003694A	SFS150	10/3	1
0003694B	SFS150	10/3	1
0003696A	SFS150	10/3	1
0003696B	SFS150	10/3	1
0003700A	SFS150	10/3	1
0003700C	SFS150	10/3	1
0003702A	SFS150	10/3	1
0003702C	SFS150	10/3	1
0003712B	SFS150	10/3	1
0003714B	SFS150	10/3	1
0003716A	SFS150	10/3	1
0003721A	SFS150	10/3	1
0003721B	SFS150	10/3	1
0003722A	SFS150	10/3	1
0003722B	SFS150	10/3	1
0003722C	SFS150	10/3	1
0003723B	SFS150	10/3	1
0003724A	SFS150	10/3	1
0003732A	SFS150	10/3	1
0003732B	SFS150	10/3	1
0003732C	SFS150	10/3	1
0003733A	SFS150	10/3	1
0003737A	SFS150	10/3	1
0003747C	SFS150	10/3	1
0003748B	SFS150	10/3	1
0003748C	SFS150	10/3	1
0003748D	SFS150	10/3	1
0003749C	SFS150	10/3	1
0003750A	SFS150	10/3	1
0003750B	SFS150	10/3	1
0003750D	SFS150	10/3	1
0003752B	SFS150	10/3	1
0003760A	SFS150	10/3	1
0003761B	SFS150	10/3	1
0003761C	SFS150	10/3	1
0003763A	SFS150	10/3	1
0003766A	SFS150	10/3	1
0003766B	SFS150	10/3	1
0003766D	SFS150	10/3	1
0003767A	SFS150	10/3	1
0003767B	SFS150	10/3	1
0003769A	SFS150	10/3	1
0003769B	SFS150	10/3	1
0003769C	SFS150	10/3	1
0003769D	SFS150	10/3	1
0003774A	SFS150	10/3	1
0003774B	SFS150	10/3	1
0003774C	SFS150	10/3	1
0003774D	SFS150	10/3	1
0003774E	SFS150	10/3	1
0003783A	SFS150	10/3	1
0003783B	SFS150	10/3	1
0003783C	SFS150	10/3	1
0003790A	SFS150	10/3	1
0003810B	SFS150	10/3	1
0003824B	SFS150	10/3	1
0003825	SFS150	10/3	1
0003825B	SFS150	10/3	1
0003825C	SFS150	10/3	1
0003827C	SFS150	10/3	1
0003833A	SFS150	10/3	1
0003833C	SFS150	10/3	1
0003833D	SFS150	10/3	1
0003838A	SFS150	10/3	1
0003838B	SFS150	10/3	1
0003838C	SFS150	10/3	1
0003838E	SFS150	10/3	1
0003841B	SFS150	10/3	1
0003843A	SFS150	10/3	1
0003843C	SFS150	10/3	1
0003843D	SFS150	10/3	1
0003843E	SFS150	10/3	1
0003849A	SFS150	10/3	1
0003851A	SFS150	10/3	1
0003860A	SFS150	10/3	1
0003860C	SFS150	10/3	1
0003860D	SFS150	10/3	1
0003862A	SFS150	10/3	1
0003863A	SFS150	10/3	1
0003863B	SFS150	10/3	1
0003863C	SFS150	10/3	1
0003863D	SFS150	10/3	1
0003878A	SFS150	10/3	1
0003878B	SFS150	10/3	1
0003880A	SFS150	10/3	1
0003880B	SFS150	10/3	1
0003881A	SFS150	10/3	1
0003881D	SFS150	10/3	1
0003884B	SFS150	10/3	1
0003888A	SFS150	10/3	1
0003888B	SFS150	10/3	1
0003888C	SFS150	10/3	1
0003888D	SFS150	10/3	1
0003888E	SFS150	10/3	1
0003889A	SFS150	10/3	1
0003889B	SFS150	10/3	1
0003896A	SFS150	10/3	1
0003896B	SFS150	10/3	1
0003904B	SFS150	10/3	1
0003914	10/3	SFS150	1
0003919	1602/7	MRTM1	1
0003949	1602/7	MRTM1	1
0003950	1602/7	MRTM1	1
0003954	1602/7	MRTM1	1
0003974C	2607/7	MRTM1	1
0003982B	2607/7	MRTM1	1
0003992B	2607/7	MRTM1	1
0004011	2607/7	MRTM1	1
0004020A	901/2	MRTM1	1
0004020B	901/2	MRTM1	1
0004021	901/2	MRTM1	1
0004022	901/2	MRTM1	1
0004029	901/2	MRTM1	1
0004085A	510/2	MRTM1	1
0004085B	510/2	MRTM1	1
0004102B	510/2	MRTM1	1
0004102C	510/2	MRTM1	1
0004130B	2607/7	MRTM1	1
0004132	2607/7	MRTM1	1
0004150A	2607/7	MRTM1	1
0004335A	2607/7	MRTM1	1
0004335B	2607/7	MRTM1	1
0004344	2607/7	MRTM1	1
0004353A	2607/7	MRTM1	1
0004353C	2607/7	MRTM1	1
0004354	2607/7	MRTM1	1
0004358	2607/7	MRTM1	1
0004371	901/2	MRTM1	1
0004395C	1602/7	MRTM1	1
0004397	1602/7	MRTM1	1
0004414B	510/2	MRTM1	1
0004442	901/2	MRTM1	1
0004480A	510/2	MRTM1	1
0004480B	510/2	MRTM1	1
0004489B	510/2	MRTM1	1
0004519	510/17	MRTM1	1
0004551	901/2	MRTM1	1
0004567	901/2	MRTM1	1
0004597	2607/7	6/8	1
0004607A	2607/7	6/8	1
0004607B	2607/7	6/8	1
0004607C	2607/7	6/8	1
0004644A	1602/7	MRTM1	1
0004658	1602/7	MRTM1	1
0004683	1602/7	MRTM1	1
0004736	2607/7	6/8	1
0004740A	2607/7	6/8	1
0004741	2607/7	6/8	1
0004741A	2607/7	6/8	1
0004773B	510/2	MRTM1	1
0004773C	510/2	MRTM1	1
0004798	1602/7	MRTM1	1
0004801	1602/7	MRTM1	1
0004806	1602/7	MRTM1	1
0004835B	1602/7	MRTM1	1
0004841	901/2	6/8	1
0004843A	901/2	6/8	1
0004843B	901/2	6/8	1
0004876A	2607/7	6/8	1
