:START_ID,:END_ID,:TYPE
"6/8","0002159B","PARENT_OF"
"SFS150","0002159C","PARENT_OF"
"6/8","0002159C","PARENT_OF"
"SFS150","0002160B","PARENT_OF"
"6/8","0002160B","PARENT_OF"
"SFS150","0002165A","PARENT_OF"
"6/8","0002165A","PARENT_OF"
"SFS150","0002165B","PARENT_OF"
"6/8","0002165B","PARENT_OF"
"SFS150","0002203A","PARENT_OF"
"12/108","0002203A","PARENT_OF"
"SFS150","0002203B","PARENT_OF"
"12/108","0002203B","PARENT_OF"
"SFS150","0002203C","PARENT_OF"
"12/108","0002203C","PARENT_OF"
"SFS150","0002205A","PARENT_OF"
"12/108","0002205A","PARENT_OF"
"SFS150","0002218A","PARENT_OF"
"12/108","0002218A","PARENT_OF"
"SFS150","0002218B","PARENT_OF"
"12/108","0002218B","PARENT_OF"
"SFS150","0002218C","PARENT_OF"
"12/108","0002218C","PARENT_OF"
"SFS150","0002222A","PARENT_OF"
"12/108","0002222A","PARENT_OF"
"SFS150","0002229A","PARENT_OF"
"12/108","0002229A","PARENT_OF"
"SFS150","0002229B","PARENT_OF"
"12/108","0002229B","PARENT_OF"
"SFS150","0002378A","PARENT_OF"
"6/8","0002378A","PARENT_OF"
"SFS150","0002378C","PARENT_OF"
"6/8","0002378C","PARENT_OF"
"SFS150","0002396A","PARENT_OF"
"6/8","0002396A","PARENT_OF"
"SFS150","0002403","PARENT_OF"
"6/8","0002403","PARENT_OF"
"SFS150","0002405B","PARENT_OF"
"6/8","0002405B","PARENT_OF"
"SFS150","0002405C","PARENT_OF"
"6/8","0002405C","PARENT_OF"
"SFS150","0002408A","PARENT_OF"
"6/8","0002408A","PARENT_OF"
"SFS150","0002408B","PARENT_OF"
"6/8","0002408B","PARENT_OF"
"SFS150","0002408D","PARENT_OF"
"6/8","0002408D","PARENT_OF"
"SFS150","0002413C","PARENT_OF"
"6/8","0002413C","PARENT_OF"
"SFS150","0002427A","PARENT_OF"
"6/8","0002427A","PARENT_OF"
"SFS150","0002427B","PARENT_OF"
"6/8","0002427B","PARENT_OF"
"SFS150","0002427C","PARENT_OF"
"6/8","0002427C","PARENT_OF"
"SFS150","0002427D","PARENT_OF"
"6/8","0002427D","PARENT_OF"
"SFS150","0002427E","PARENT_OF"
"6/8","0002427E","PARENT_OF"
"SFS150","0002433A","PARENT_OF"
"6/8","0002433A","PARENT_OF"
"SFS150","0002433B","PARENT_OF"
"6/8","0002433B","PARENT_OF"
"SFS150","0002433C","PARENT_OF"
"6/8","0002433C","PARENT_OF"
"SFS150","0002433D","PARENT_OF"
"6/8","0002433D","PARENT_OF"
"SFS150","0002434A","PARENT_OF"
"6/8","0002434A","PARENT_OF"
"SFS150","0002434B","PARENT_OF"
"6/8","0002434B","PARENT_OF"
"SFS150","0002434C","PARENT_OF"
"6/8","0002434C","PARENT_OF"
"SFS150","0002434D","PARENT_OF"
"6/8","0002434D","PARENT_OF"
"SFS150","0002434E","PARENT_OF"
"6/8","0002434E","PARENT_OF"
"SFS150","0002434F","PARENT_OF"
"6/8","0002434F","PARENT_OF"
"SFS150","0002442D","PARENT_OF"
"6/8","0002442D","PARENT_OF"
"SFS150","0002444A","PARENT_OF"
"6/8","0002444A","PARENT_OF"
"SFS150","0002444B","PARENT_OF"
"6/8","0002444B","PARENT_OF"
"SFS150","0002451A","PARENT_OF"
"6/8","0002451A","PARENT_OF"
"SFS150","0002451B","PARENT_OF"
"6/8","0002451B","PARENT_OF"
"SFS150","0002451D","PARENT_OF"
"6/8","0002451D","PARENT_OF"
"SFS150","0002453","PARENT_OF"
"6/8","0002453","PARENT_OF"
"SFS150","0002464A","PARENT_OF"
"6/8","0002464A","PARENT_OF"
"SFS150","0002464B","PARENT_OF"
"6/8","0002464B","PARENT_OF"
"SFS150","0002464C","PARENT_OF"
"6/8","0002464C","PARENT_OF"
"SFS150","0002464D","PARENT_OF"
"6/8","0002464D","PARENT_OF"
"SFS150","0002473","PARENT_OF"
"6/8","0002473","PARENT_OF"
"SFS150","0002476B","PARENT_OF"
"6/8","0002476B","PARENT_OF"
"SFS150","0002476C","PARENT_OF"
"6/8","0002476C","PARENT_OF"
"PC110","0002531A","PARENT_OF"
"10/3","0002531A","PARENT_OF"
"PC110","0002531B","PARENT_OF"
"10/3","0002531B","PARENT_OF"
"PC110","0002531C","PARENT_OF"
"10/3","0002531C","PARENT_OF"
"PC110","0002538A","PARENT_OF"
"10/3","0002538A","PARENT_OF"
"PC110","0002538B","PARENT_OF"
"10/3","0002538B","PARENT_OF"
"PC110","0002538C","PARENT_OF"
"10/3","0002538C","PARENT_OF"
"PC110","0002538D","PARENT_OF"
"10/3","0002538D","PARENT_OF"
"PC110","0002538E","PARENT_OF"
"10/3","0002538E","PARENT_OF"
"PC110","0002544B","PARENT_OF"
"10/3","0002544B","PARENT_OF"
"SFS150","0002591","PARENT_OF"
"6/8","0002591","PARENT_OF"
"SFS150","0002593A","PARENT_OF"
"6/8","0002593A","PARENT_OF"
"SFS150","0002603A","PARENT_OF"
"6/8","0002603A","PARENT_OF"
"SFS150","0002614B","PARENT_OF"
"6/8","0002614B","PARENT_OF"
"SFS150","0002616C","PARENT_OF"
"6/8","0002616C","PARENT_OF"
"SFS150","0002616D","PARENT_OF"
"6/8","0002616D","PARENT_OF"
"SFS150","0002617B","PARENT_OF"
"6/8","0002617B","PARENT_OF"
"SFS150","0002617C","PARENT_OF"
"6/8","0002617C","PARENT_OF"
"SFS150","0002617D","PARENT_OF"
"6/8","0002617D","PARENT_OF"
"SFS150","0002618A","PARENT_OF"
"6/8","0002618A","PARENT_OF"
"SFS150","0002619A","PARENT_OF"
"6/8","0002619A","PARENT_OF"
