id:ID,gener,par1,par2,year:int,:LABEL
"0000589","1","EJULU","PC110","2000","Plant"
"0000610A","1","EJULU","PC110","2000","Plant"
"0000610B","1","EJULU","PC110","2000","Plant"
"0000610C","1","EJULU","PC110","2000","Plant"
"0000619E","1","EJULU","PC110","2000","Plant"
"0000622C","1","EJULU","PC110","2000","Plant"
"0000630A","1","EJULU","PC110","2000","Plant"
"0000636B","1","TL1","10/3","2000","Plant"
"0000639","1","TL1","10/3","2000","Plant"
"0000641","1","TL1","10/3","2000","Plant"
"0000647A","1","TL1","10/3","2000","Plant"
"0000647B","1","TL1","10/3","2000","Plant"
"0000669A","1","TL1","10/3","2000","Plant"
"0000669B","1","TL1","10/3","2000","Plant"
"0000673A","1","SFS150","EJULU","2000","Plant"
"0000673B","1","SFS150","EJULU","2000","Plant"
"0000673C","1","SFS150","EJULU","2000","Plant"
"0000673D","1","SFS150","EJULU","2000","Plant"
"0000677A","1","SFS150","EJULU","2000","Plant"
"0000677B","1","SFS150","EJULU","2000","Plant"
"0000678B","1","SFS150","EJULU","2000","Plant"
"0000678C","1","SFS150","EJULU","2000","Plant"
"0000684A","1","PC110","EJULU","2000","Plant"
"0000684B","1","PC110","EJULU","2000","Plant"
"0000717A","1","PC110","EJULU","2000","Plant"
"0000742","1","MRTM1","TL1","2000","Plant"
"0000782C","1","SFS150","EJULU","2000","Plant"
"0000782D","1","SFS150","EJULU","2000","Plant"
"0000785A","1","SFS150","EJULU","2000","Plant"
"0000785B","1","SFS150","EJULU","2000","Plant"
"0000785C","1","SFS150","EJULU","2000","Plant"
"0000788","1","SFS150","EJULU","2000","Plant"
"0000792A","1","SFS150","EJULU","2000","Plant"
"0000792B","1","SFS150","EJULU","2000","Plant"
"0000792C","1","SFS150","EJULU","2000","Plant"
"0000799A","1","SFS150","EJULU","2000","Plant"
"0000799B","1","SFS150","EJULU","2000","Plant"
"0000800A","1","SFS150","EJULU","2000","Plant"
"0000800B","1","SFS150","EJULU","2000","Plant"
"0000803A","1","SFS150","EJULU","2000","Plant"
"0000803B","1","SFS150","EJULU","2000","Plant"
"0000804C","1","SFS150","EJULU","2000","Plant"
"0000804D","1","SFS150","EJULU","2000","Plant"
"0000807A","1","SFS150","EJULU","2000","Plant"
"0000810","1","SFS150","EJULU","2000","Plant"
"0000814A","1","SFS150","EJULU","2000","Plant"
"0000814B","1","SFS150","EJULU","2000","Plant"
"0000814C","1","SFS150","EJULU","2000","Plant"
"0000911A","1","TL1","MRTM1","2000","Plant"
"0000911B","1","TL1","MRTM1","2000","Plant"
"0000914B","1","TL1","MRTM1","2000","Plant"
"0000915A","1","TL1","MRTM1","2000","Plant"
"0000915B","1","TL1","MRTM1","2000","Plant"
"0000915D","1","TL1","MRTM1","2000","Plant"
"0000915E","1","TL1","MRTM1","2000","Plant"
"0000916A","1","TL1","MRTM1","2000","Plant"
"0000916B","1","TL1","MRTM1","2000","Plant"
"0000916C","1","TL1","MRTM1","2000","Plant"
"0000920A","1","TL1","MRTM1","2000","Plant"
"0000920B","1","TL1","MRTM1","2000","Plant"
"0000924A","1","TL1","MRTM1","2000","Plant"
"0000925A","1","TL1","MRTM1","2000","Plant"
"0000925B","1","TL1","MRTM1","2000","Plant"
"0000929A","1","TL1","MRTM1","2000","Plant"
"0000939A","1","SFS150","EJULU","2000","Plant"
"0000940B","1","SFS150","EJULU","2000","Plant"
"0000944A","1","PC110","12/108","2000","Plant"
"0000952B","1","PC110","12/108","2000","Plant"
"0001003A","1","MRTM1","TL1","2000","Plant"
"0001028","1","MRTM1","TL1","2000","Plant"
"0001048A","1","PC110","EJULU","2000","Plant"
"0001048B","1","PC110","EJULU","2000","Plant"
"0001048C","1","PC110","EJULU","2000","Plant"
"0001061B","1","SFS150","EJULU","2000","Plant"
"0001061C","1","SFS150","EJULU","2000","Plant"
"0001065A","1","SFS150","EJULU","2000","Plant"
"0001065B","1","SFS150","EJULU","2000","Plant"
"0001066A","1","SFS150","EJULU","2000","Plant"
"0001066B","1","SFS150","EJULU","2000","Plant"
"0001108A","1","TL1","10/3","2000","Plant"
"0001108B","1","TL1","10/3","2000","Plant"
"0001115A","1","TL1","10/3","2000","Plant"
"0001115B","1","TL1","10/3","2000","Plant"
"0001115C","1","TL1","10/3","2000","Plant"
"0001132","1","MRTM1","TL1","2000","Plant"
"0001142B","1","MRTM1","TL1","2000","Plant"
"0001147A","1","MRTM1","TL1","2000","Plant"
"0001147B","1","MRTM1","TL1","2000","Plant"
"0001154","1","MRTM1","TL1","2000","Plant"
"0001156A","1","MRTM1","TL1","2000","Plant"
"0001156B","1","MRTM1","TL1","2000","Plant"
"0001163A","1","MRTM1","TL1","2000","Plant"
"0001163C","1","MRTM1","TL1","2000","Plant"
"0001165A","1","MRTM1","TL1","2000","Plant"
"0001165B","1","MRTM1","TL1","2000","Plant"
"0001166A","1","MRTM1","TL1","2000","Plant"
"0001166B","1","MRTM1","TL1","2000","Plant"
"0001169A","1","MRTM1","TL1","2000","Plant"
"0001175B","1","MRTM1","TL1","2000","Plant"
"0001263","1","TL1","12/108","2000","Plant"
"0001277A","1","TL1","12/108","2000","Plant"
"0001277B","1","TL1","12/108","2000","Plant"
"0001283A","1","SFS150","EJULU","2000","Plant"
"0001283B","1","SFS150","EJULU","2000","Plant"
"0001294A","1","SFS150","EJULU","2000","Plant"
"0001294B","1","SFS150","EJULU","2000","Plant"
"0001335","1","12/108","PC110","2000","Plant"
"0001349A","1","TL1","MRTM1","2000","Plant"
"0001349B","1","TL1","MRTM1","2000","Plant"
"0001349C","1","TL1","MRTM1","2000","Plant"
"0001350A","1","TL1","MRTM1","2000","Plant"
"0001350B","1","TL1","MRTM1","2000","Plant"
"0001350C","1","TL1","MRTM1","2000","Plant"
"0001353A","1","PC110","12/108","2000","Plant"
"0001353B","1","PC110","12/108","2000","Plant"
"0001438B","1","12/108","PC110","2000","Plant"
"0001448A","1","TL1","12/108","2000","Plant"
"0001448B","1","TL1","12/108","2000","Plant"
"0001474C","1","SFS150","EJULU","2000","Plant"
"0001482A","1","SFS150","EJULU","2000","Plant"
"0001482B","1","SFS150","EJULU","2000","Plant"
"0001492A","1","SFS150","EJULU","2000","Plant"
"0001492C","1","SFS150","EJULU","2000","Plant"
"0001492D","1","SFS150","EJULU","2000","Plant"
"0001500A","1","SFS150","EJULU","2000","Plant"
"0001500B","1","SFS150","EJULU","2000","Plant"
"0001500C","1","SFS150","EJULU","2000","Plant"
"0001563","1","6/8","PC110","2000","Plant"
"0001573A","1","PC110","6/8","2000","Plant"
"0001573B","1","PC110","6/8","2000","Plant"
"0001579C","1","PC110","6/8","2000","Plant"
"0001604B","1","PC110","6/8","2000","Plant"
"0001604D","1","PC110","6/8","2000","Plant"
"0001605C","1","PC110","6/8","2000","Plant"
"0001605D","1","PC110","6/8","2000","Plant"
"0001614B","1","PC110","6/8","2000","Plant"
"0001624A","1","SFS150","EJULU","2000","Plant"
"0001624B","1","SFS150","EJULU","2000","Plant"
"0001624C","1","SFS150","EJULU","2000","Plant"
"0001626A","1","SFS150","EJULU","2000","Plant"
"0001626B","1","SFS150","EJULU","2000","Plant"
"0001626C","1","SFS150","EJULU","2000","Plant"
"0001630B","1","SFS150","EJULU","2000","Plant"
"0001631A","1","SFS150","EJULU","2000","Plant"
"0001634A","1","SFS150","EJULU","2000","Plant"
"0001634B","1","SFS150","EJULU","2000","Plant"
"0001634C","1","SFS150","EJULU","2000","Plant"
"0001634D","1","SFS150","EJULU","2000","Plant"
"0001640A","1","SFS150","EJULU","2000","Plant"
"0001640C","1","SFS150","EJULU","2000","Plant"
"0001645B","1","SFS150","EJULU","2000","Plant"
"0001645C","1","SFS150","EJULU","2000","Plant"
