year	month	rainfall	date
2002	Jan	263.5	2002-01-01
2002	Feb	85	2002-02-01
2002	Mar	343	2002-03-01
2002	Apr	426	2002-04-01
2002	May	535	2002-05-01
2002	Jun	118.5	2002-06-01
2002	Jul	143	2002-07-01
2002	Aug	137.5	2002-08-01
2002	Sep	141	2002-09-01
2002	Oct	178.5	2002-10-01
2002	Nov	218.5	2002-11-01
2002	Dec	244.5	2002-12-01
2001	Jan	429.5	2001-01-01
2001	Feb	56	2001-02-01
2001	Mar	183.5	2001-03-01
2001	Apr	379.2	2001-04-01
2001	May	332	2001-05-01
2001	Jun	395.3	2001-06-01
2001	Jul	311.5	2001-07-01
2001	Aug	154.5	2001-08-01
2001	Sep	250.5	2001-09-01
2001	Oct	320.5	2001-10-01
2001	Nov	157	2001-11-01
2001	Dec	85	2001-12-01
2000	Jan	51	2000-01-01
2000	Feb	52	2000-02-01
2000	Mar	200	2000-03-01
2000	Apr	156.5	2000-04-01
2000	May	213.5	2000-05-01
2000	Jun	203.5	2000-06-01
2000	Jul	250.5	2000-07-01
2000	Aug	270.5	2000-08-01
2000	Sep	189.5	2000-09-01
2000	Oct	177.5	2000-10-01
2000	Nov	168.5	2000-11-01
2000	Dec	246.3	2000-12-01
1999	Jan	219	1999-01-01
1999	Feb	21.5	1999-02-01
1999	Mar	478.2	1999-03-01
1999	Apr	397.6	1999-04-01
1999	May	394.2	1999-05-01
1999	Jun	124.5	1999-06-01
1999	Jul	115.5	1999-07-01
1999	Aug	226.5	1999-08-01
1999	Sep	308.5	1999-09-01
1999	Oct	242.3	1999-10-01
1999	Nov	208.6	1999-11-01
1999	Dec	131.1	1999-12-01
1998	Jan	193.9	1998-01-01
1998	Feb	223.5	1998-02-01
1998	Mar	138	1998-03-01
1998	Apr	459	1998-04-01
1998	May	394	1998-05-01
1998	Jun	215.6	1998-06-01
1998	Jul	112	1998-07-01
1998	Aug	121.6	1998-08-01
1998	Sep	186.9	1998-09-01
1998	Oct	246.3	1998-10-01
1998	Nov	188	1998-11-01
1998	Dec	41	1998-12-01
1997	Jan	170	1997-01-01
1997	Feb	NA	1997-02-01
1997	Mar	121	1997-03-01
1997	Apr	434	1997-04-01
1997	May	156	1997-05-01
1997	Jun	121	1997-06-01
1997	Jul	231.1	1997-07-01
1997	Aug	182.9	1997-08-01
1997	Sep	12.9	1997-09-01
1997	Oct	339.7	1997-10-01
1997	Nov	387.5	1997-11-01
1997	Dec	357.7	1997-12-01
1996	Jan	153	1996-01-01
1996	Feb	336	1996-02-01
1996	Mar	363	1996-03-01
1996	Apr	460	1996-04-01
1996	May	502	1996-05-01
1996	Jun	191.5	1996-06-01
1996	Jul	244	1996-07-01
1996	Aug	122	1996-08-01
1996	Sep	451.5	1996-09-01
1996	Oct	278.8	1996-10-01
1996	Nov	222.5	1996-11-01
1996	Dec	143	1996-12-01
1995	Jan	55.5	1995-01-01
1995	Feb	185.2	1995-02-01
1995	Mar	280	1995-03-01
1995	Apr	280.5	1995-04-01
1995	May	364.4	1995-05-01
1995	Jun	225.1	1995-06-01
1995	Jul	209.7	1995-07-01
1995	Aug	126.7	1995-08-01
1995	Sep	215	1995-09-01
1995	Oct	302	1995-10-01
1995	Nov	285.6	1995-11-01
1995	Dec	188	1995-12-01
1994	Jan	25.7	1994-01-01
1994	Feb	156	1994-02-01
1994	Mar	224.9	1994-03-01
1994	Apr	475.8	1994-04-01
1994	May	409.5	1994-05-01
1994	Jun	204	1994-06-01
1994	Jul	229.3	1994-07-01
1994	Aug	249.2	1994-08-01
1994	Sep	250.4	1994-09-01
1994	Oct	263.6	1994-10-01
1994	Nov	376.8	1994-11-01
1994	Dec	52.5	1994-12-01
1993	Jan	263	1993-01-01
1993	Feb	221.7	1993-02-01
1993	Mar	33.7	1993-03-01
1993	Apr	119.1	1993-04-01
1993	May	336.9	1993-05-01
1993	Jun	316.7	1993-06-01
1993	Jul	72.4	1993-07-01
1993	Aug	83.6	1993-08-01
1993	Sep	57.1	1993-09-01
1993	Oct	123.6	1993-10-01
1993	Nov	76.2	1993-11-01
1993	Dec	95.3	1993-12-01
