id	year	month	rainfall	date
252	2001	Dec	85	2001-12-01
253	2000	Jan	51	2000-01-01
254	2000	Feb	52	2000-02-01
255	2000	Mar	200	2000-03-01
256	2000	Apr	156.5	2000-04-01
257	2000	May	213.5	2000-05-01
258	2000	Jun	203.5	2000-06-01
259	2000	Jul	250.5	2000-07-01
260	2000	Aug	270.5	2000-08-01
261	2000	Sep	189.5	2000-09-01
262	2000	Oct	177.5	2000-10-01
263	2000	Nov	168.5	2000-11-01
264	2000	Dec	246.3	2000-12-01
265	1999	Jan	219	1999-01-01
266	1999	Feb	21.5	1999-02-01
267	1999	Mar	478.2	1999-03-01
268	1999	Apr	397.6	1999-04-01
269	1999	May	394.2	1999-05-01
270	1999	Jun	124.5	1999-06-01
271	1999	Jul	115.5	1999-07-01
272	1999	Aug	226.5	1999-08-01
273	1999	Sep	308.5	1999-09-01
274	1999	Oct	242.3	1999-10-01
275	1999	Nov	208.6	1999-11-01
276	1999	Dec	131.1	1999-12-01
277	1998	Jan	193.9	1998-01-01
278	1998	Feb	223.5	1998-02-01
279	1998	Mar	138	1998-03-01
280	1998	Apr	459	1998-04-01
281	1998	May	394	1998-05-01
282	1998	Jun	215.6	1998-06-01
283	1998	Jul	112	1998-07-01
284	1998	Aug	121.6	1998-08-01
285	1998	Sep	186.9	1998-09-01
286	1998	Oct	246.3	1998-10-01
287	1998	Nov	188	1998-11-01
288	1998	Dec	41	1998-12-01
289	1997	Jan	170	1997-01-01
290	1997	Feb		1997-02-01
291	1997	Mar	121	1997-03-01
292	1997	Apr	434	1997-04-01
293	1997	May	156	1997-05-01
294	1997	Jun	121	1997-06-01
295	1997	Jul	231.1	1997-07-01
296	1997	Aug	182.9	1997-08-01
297	1997	Sep	12.9	1997-09-01
298	1997	Oct	339.7	1997-10-01
299	1997	Nov	387.5	1997-11-01
300	1997	Dec	357.7	1997-12-01
301	1996	Jan	153	1996-01-01
302	1996	Feb	336	1996-02-01
303	1996	Mar	363	1996-03-01
304	1996	Apr	460	1996-04-01
305	1996	May	502	1996-05-01
306	1996	Jun	191.5	1996-06-01
307	1996	Jul	244	1996-07-01
308	1996	Aug	122	1996-08-01
309	1996	Sep	451.5	1996-09-01
310	1996	Oct	278.8	1996-10-01
311	1996	Nov	222.5	1996-11-01
312	1996	Dec	143	1996-12-01
313	1995	Jan	55.5	1995-01-01
314	1995	Feb	185.2	1995-02-01
315	1995	Mar	280	1995-03-01
316	1995	Apr	280.5	1995-04-01
317	1995	May	364.4	1995-05-01
318	1995	Jun	225.1	1995-06-01
319	1995	Jul	209.7	1995-07-01
320	1995	Aug	126.7	1995-08-01
321	1995	Sep	215	1995-09-01
322	1995	Oct	302	1995-10-01
323	1995	Nov	285.6	1995-11-01
