ID	Female_parent	Male_parent
0112652	510/2	15/10
0112904	864	10/3
0112930	864	10/3
0112932	864	10/3
0113048	864	10/3
0113053	864	10/3
0113073	864	10/3
0113119	864	10/3
0113177	864	10/3
0113194	510/2	510/2
0113246	510/2	BB7
0113290	9400208	MRTM1
0113292	9400208	MRTM1
0113308	9400208	MRTM1
0200006	MRTM1	9400208
0200008	MRTM1	9400208
0200018	MRTM1	9400208
0200039	MRTM1	9400208
0200116	864	9400131
0200126	MRTM1	9400208
0200144	MRTM1	9400208
0200147	MRTM1	9400208
0200149	MRTM1	9400208
0200153	MRTM1	9400208
0200158	MRTM1	9400208
0200160	MRTM1	9400208
0200162	TL1	9400208
0200181	MRTM1	9400208
0200186	MRTM1	9400208
0200194	MRTM1	9400208
0200201	MRTM1	9400208
0200204	MRTM1	9400208
0200209	MRTM1	9400208
0200213	MRTM1	9400208
0200249	MRTM1	9400208
0200251	MRTM1	9400208
0200256	MRTM1	9400208
0200260	MRTM1	9400208
0200266	MRTM1	9400208
0200277	MRTM1	9400208
0200330	MRTM1	9400131
0200379	MRTM1	9400208
0200385	MRTM1	9400208
0200386	MRTM1	9400208
0200402	MRTM1	9400208
0200446	SFS150	9400404
0200456	SFS150	9400404
0200471	SFS150	9400404
0200472	SFS150	9400404
0200473	SFS150	9400404
0200499	MRTM1	9400404
0200577	MRTM1	9400404
0200591	MRTM1	9400404
0200600	864	9400131
0200624	MRTM1	9400404
0200701	864	9400208
0200723	MRTM1	9400404
0200725	MRTM1	9400404
0200741	MRTM1	9400404
0200743	MRTM1	9400404
0200791	MRTM1	9400404
0200792	MRTM1	9400404
0200797	MRTM1	9400404
0200804	MRTM1	9400404
0200810	MRTM1	9400404
0200811	MRTM1	9400404
0200820	MRTM1	9400404
0200850	SFS150	9400208
0201156	MRTM1	000929a
0201176	MRTM1	000929a
0201238	6/8	EJULU
0201362	TL1	9400208
0201364	TL1	9400208
0201453	TL1	9400225
0201470	864	9400208
0201629	SFS150	9400131
0201704	MRTM1	9400225
0201706	MRTM1	9400225
0201840	MRTM1	9400225
0201935	MRTM1	000929a
0201938	MRTM1	000929a
0201944	TL1	9400208
0201952	TL1	9400208
0201990	864	9400225
0202042	MRTM1	9400131
0202043	MRTM1	9400131
0202060	MRTM1	9400131
0202128	864	9400225
0202211	MRTM1	9400225
0202212	MRTM1	9400225
0202216	MRTM1	9400225
0202233	MRTM1	9400225
0202532	1207/17	000929a
0202533	1207/17	000929a
0202535	1207/17	000929a
0202544	1207/17	000929a
0202551	1207/17	9400131
0202583	MRTM1	000929a
0202584	MRTM1	000929a
0202606	1207/17	000929a
0202675	MRTM1	9400131
0202693	MRTM1	9400131
0202719	1207/17	000929a
0202734	1207/17	000929a
0202742	1207/17	000929a
0202756	1207/17	9400131
0202768	MRTM1	9400131
0202774	MRTM1	9400131
0202795	10/3	9400225
0202812	14/140	15/10
0202873	1207/17	000929a
0202894	1207/17	000929a
0203011	864	9400131
0203094	1207/17	000929a
0203110	1207/17	000929a
0203117	EJULU	9400404
0203141	TL1	9400404
0203190	MRTM1	9400131
0203235	6/8	9400131
0203289	TL1	9400131
0203300	TL1	9400131
0203323	10/3	9400131
0203345	1207/17	9400131
0203369	TL1	9400131
0203385	TL1	9400131
0203517	TL1	9400131
0203548	EJULU	9400131
0203643	14/140	6/8
0203662	6/8	9400131
0203670	6/8	9400131
0203682	864	9400208
0203684	864	9400208
0203725	EJULU	9400131
0203744	TL1	9400131
0203745	TL1	9400131
0203746	TL1	9400131
0203850	MRTM1	9400131
0203854	EJULU	9400208
0203856	EJULU	9400208
0203874	864	9400208
0203888	9400208	9400404
0203982	EJULU	9400208
0203984	EJULU	9400208
0204003	MRTM1	000929a
0204027	TL1	9400225
0204046	15/10	9400131
0204112	1207/17	9400208
0204120	1207/17	9400208
0204187	1207/17	9400208
0204216	1207/17	9400208
0204246	1207/17	9400208
0204260	1207/17	9400208
0204273	1207/17	9400131
0204306	1207/17	9400131
0204362	9400131	9400225
0204395	1207/17	9400131
0204398	1207/17	9400131
0204476	1207/17	9400131
0204489	9400131	9400208
0204520	1207/17	9400131
0204533	9400131	9400208
0204603	9400208	9400404
0204606	9400208	9400404
0204610	9400208	9400404
0204637	MRTM1	9400131
0204674	9400208	9400404
0204731	1207/17	9400131
0204744	1207/17	9400131
0204791	9400208	9400404
0204835	9400208	9400404
0204988	16/163	14/140
0204994	16/163	14/140
0205000	16/163	14/140
0205109	16/163	14/140
0205131	16/163	14/140
0205140	16/163	14/140
0205178	TL1	9400225
0205217	9400208	9400404
0205221	9400208	9400404
0205234	16/163	14/140
0205237	16/163	14/140
0205360	9400208	9400404
0205409	16/163	13/005
0205411	16/163	13/005
0205422	16/163	13/005
0205440	TL1	9400225
0205465	9400208	9400404
0205473	9400208	9400404
0205491	15/10	9400131
0205529	16/163	13/005
0205553	16/163	13/005
0205747	9400404	9400208
0205761	16/163	13/005
0300022	6/8	S15/10
0300128	6/8	S15/10
0300139	14/140	MRTM1
0300160	6/8	14/140
0300208	6/8	S15/10
0300211	6/8	15/10
0300253	10/3	S15/10
0300254	10/3	15/10
0300274	6/8	S15/10
0300294	6/8	15/10
0300296	6/8	S15/10
0300321	6/8	S15/10
0300336	6/8	15/10
0300361	16/163	MRTM1
0300417	6/8	14/140
0300450	6/8	864
0300472	14/140	864
0300482	6/8	14/140
0300493	6/8	14/140
0300627	14/140	MRTM1
0300688	1602/7	9400131
0300693	1602/7	9400131
0300695	1602/7	9400131
0300764	6/8	864
0300775	6/8	864
0300793	1602/7	9400131
0300801	1602/7	9400131
0300833	1602/7	9400131
0300850	1602/7	9400225
0300892	MRTM1	EJULU
0301036	1602/7	9400225
0301102	502/7	9400225
0301114	502/7	9400225
0301131	502/7	9400225
0301132	502/7	9400225
0301137	502/7	9400225
0301154	6/8	15/10
0301160	6/8	15/10
0301175	14/140	15/10
0301191	502/7	9400225
0301222	1207/17	9400225
0301223	1207/17	9400225
0301225	1207/17	9400225
0301228	1207/17	9400225
0301230	1207/17	9400225
0301233	1207/17	9400225
0301241	1207/17	9400225
0301242	1207/17	9400225
0301250	1207/17	9400225
0301254	1207/17	9400225
0301327	502/7	9400208
0301332	502/7	9400208
0301350	1602/7	9400208
0301355	1602/7	9400208
0301371	1207/17	9400225
0301380	1207/17	9400225
0301399	1602/7	9400208
0301421	502/7	9400131
0301491	1602/7	9400208
0301499	1602/7	9400208
0301511	1602/7	9400208
0301513	1602/7	9400208
0301523	1506/7	9400225
0301525	1506/7	9400225
0301526	1506/7	9400225
0301542	502/7	9400131
0301546	502/7	9400131
0301557	502/7	9400131
0301564	1207/17	9400131
0301601	1602/7	9400208
0301602	1602/7	9400208
0301606	1602/7	9400208
0301609	1602/7	9400208
0301610	1602/7	9400208
0301619	1207/17	9400131
0301672	1602/7	9400208
0301681	1602/7	9400201
0301685	1602/7	9400201
0301687	1602/7	9400201
0301703	1602/7	9400201
0301709	1602/7	9400201
0301728	1602/7	9400201
0301730	1602/7	9400201
0301731	1602/7	9400201
0301736	1602/7	9400201
0301740	1602/7	9400201
0301760	502/7	9400131
0301772	1602/7	9400208
0301775	1602/7	9400208
0301777	1602/7	9400208
0301794	1207/17	9400225
0301798	1207/17	9400225
0301819	1602/7	9400208
0301821	1602/7	9400208
0301828	1602/7	9400208
0301839	6/8	S15/10
0301851	864	10/3
0301894	1602/7	9400201
0301907	502/7	9400208
0301909	502/7	9400208
0301916	1506/7	9400208
0301933	1602/7	9400208
0301952	1207/17	9400131
0301967	1207/17	9400131
0301973	502/7	9400208
0302027	1506/7	9400131
0302093	502/7	9400208
0302118	1207/17	9400225
0302132	502/7	9400201
0302142	502/7	9400201
0302160	502/7	9400201
0302162	502/7	9400201
0302174	16/163	MRTM1
0302186	16/163	MRTM1
0302194	16/163	MRTM1
0302265	1207/17	9400208
0302275	1207/17	9400208
0302281	1207/17	9400208
0302326	6/8	S15/10
0302335	502/7	9400201
0302342	502/7	9400201
0302350	502/7	9400201
0302368	502/7	9400201
0302374	502/7	9400201
0302388	502/7	9400201
0302403	502/7	9400201
0302411	502/7	9400201
0302451	1506/7	9400201
0302481	1207/17	9400208
0302496	1207/17	9400208
0302511	1207/17	9400208
0302557	6/8	16/163
0302563	864	10/3
0302593	MRTM1	16/163
0302602	MRTM1	16/163
0302684	MRTM1	14/140
0302726	864	10/3
0302729	864	10/3
0302748	MRTM1	EJULU
0302754	MRTM1	EJULU
0302757	MRTM1	EJULU
0302824	MRTM1	EJULU
0302825	MRTM1	EJULU
0302863	S15/10	10/3
0302871	MRTM1	EJULU
0302897	1207/17	9400208
0302902	1207/17	9400208
0302905	1207/17	9400208
0302908	1207/17	9400208
0302909	1207/17	9400208
0302930	1506/7	9400208
0302951	MRTM1	EJULU
0302975	MRTM1	EJULU
0302978	MRTM1	EJULU
0302993	MRTM1	EJULU
0303005	MRTM1	EJULU
0303009	MRTM1	EJULU
0303011	MRTM1	EJULU
0303012	MRTM1	EJULU
0303015	MRTM1	EJULU
0303020	MRTM1	EJULU
0303063	1207/17	9400201
0303078	1207/17	9400201
0303096	16/163	864
0303116	16/163	864
0303186	864	6/8
0303195	1207/17	9400201
0303301	1207/17	9400201
0303324	1207/17	9400201
0303326	1207/17	9400201
0303328	1207/17	9400201
0303331	502/7	9400208
0303333	502/7	9400208
0303347	502/7	9400208
0303356	502/7	9400208
0303362	502/7	9400208
0303387	502/7	9400208
0303392	16/163	10/3
0303395	16/163	10/3
0303404	16/163	10/3
0303407	16/163	10/3
0303415	16/163	10/3
0303452	6/8	864
0303464	6/8	864
0303476	S15/10	13/005
0303478	15/10	13/005
0303521	EJULU	S15/10
0303533	6/8	13/005
0303548	6/8	13/005
0303584	MRTM1	14/140
0303587	MRTM1	14/140
0303603	MRTM1	14/140
0303624	864	EJULU
0303641	864	EJULU
0303653	864	EJULU
0303674	MRTM1	16/163
0303676	MRTM1	16/163
0303683	MRTM1	13/005
0303692	16/163	S15/10
0303700	16/163	15/10
0303766	EJULU	15/10
0303777	EJULU	S15/10
0303790	MRTM1	14/140
0303818	16/163	S15/10
0303837	S15/10	16/163
0303874	864	EJULU
0303879	864	EJULU
0303907	864	EJULU
0303926	16/163	S15/10
0303927	16/163	15/10
0303935	16/163	S15/10
0303940	16/163	S15/10
0303984	864	EJULU
0303990	864	EJULU
0304082	16/163	15/10
0304090	16/163	15/10
0304098	16/163	15/10
0304099	16/163	15/10
0304104	16/163	S15/10
0304110	16/163	15/10
0304156	EJULU	S15/10
0304179	9400208	1602/7
0304230	16/163	15/10
0304233	16/163	S15/10
0304241	16/163	S15/10
0304244	16/163	S15/10
0304245	16/163	15/10
0304254	16/163	15/10
0304258	16/163	S15/10
0304259	16/163	15/10
0304309	EJULU	15/10
0304351	16/163	10/3
0304369	16/163	10/3
0304398	16/163	10/3
0304401	16/163	10/3
0304412	EJULU	15/10
0304484	16/163	10/3
0304492	16/163	10/3
0304515	16/163	10/3
0304522	16/163	10/3
0304535	16/163	10/3
0304539	16/163	10/3
0304543	16/163	10/3
0304544	16/163	10/3
0304556	EJULU	14/140
0304624	16/163	10/3
0304635	16/163	864
0304644	16/163	864
0304666	16/163	864
0304668	16/163	864
0304669	16/163	864
0304672	16/163	864
0304676	16/163	864
0304678	16/163	864
0304681	16/163	864
0304713	EJULU	14/140
0304730	EJULU	14/140
0304774	MRTM1	13/005
0304783	MRTM1	13/005
0304789	MRTM1	13/005
0304832	16/163	864
0304848	16/163	864
0304859	16/163	864
0304860	16/163	864
0304889	16/163	864
0304891	16/163	864
0304893	16/163	864
0304894	16/163	864
0304900	16/163	864
0304951	864	6/8
0304960	EJULU	14/140
0304967	EJULU	14/140
0304970	EJULU	14/140
0304973	16/163	864
0304974	16/163	864
0304991	16/163	13/005
0304998	16/163	13/005
0305000	16/163	13/005
0305010	16/163	13/005
0305050	EJULU	14/140
0305057	EJULU	14/140
0305068	EJULU	14/140
0305083	EJULU	14/140
0305106	EJULU	14/140
0305180	15/10	10/3
0305210	16/163	13/005
0305225	16/163	13/005
0305233	6/8	10/3
0305270	EJULU	6/8
0305279	EJULU	6/8
0305312	15/10	10/3
0305344	16/163	13/005
0305353	16/163	13/005
0305367	16/163	13/005
0305374	16/163	13/005
0305381	16/163	13/005
0305410	6/8	14/140
0305426	13/005	14/140
0305469	9400208	1602/7
0305477	9400208	1602/7
0305484	9400208	1602/7
0305485	9400208	1602/7
0305494	9400208	1602/7
0305518	9400208	1602/7
0305543	EJULU	16/163
0305555	EJULU	16/163
0305575	13/005	10/3
0305602	16/163	14/140
0305604	16/163	14/140
0305605	16/163	14/140
0305615	16/163	14/140
0305623	16/163	14/140
0305624	16/163	14/140
0305690	EJULU	16/163
0305718	16/163	14/140
0305723	16/163	14/140
0305728	16/163	14/140
0305737	16/163	14/140
0305740	16/163	14/140
0305750	16/163	14/140
0305785	16/163	14/140
0305806	16/163	14/140
0305822	6/8	14/140
0305830	6/8	14/140
0305832	6/8	14/140
0305841	13/005	10/3
0305853	13/005	10/3
0305875	14/140	13/005
0305902	6/8	14/140
0305967	EJULU	16/163
0305983	EJULU	16/163
0306005	EJULU	16/163
0306018	EJULU	16/163
0306029	16/163	14/140
0306064	13/005	14/140
0306067	13/005	14/140
0306077	13/005	14/140
0306083	15/10	10/3
0306096	15/10	10/3
0306109	13/005	14/140
0306124	14/140	13/005
0306129	14/140	13/005
0306131	14/140	13/005
0306169	6/8	16/163
0306184	EJULU	6/8
0306189	EJULU	6/8
0306206	6/8	14/140
0306210	6/8	14/140
0306213	6/8	14/140
0306227	16/163	6/8
0306228	16/163	6/8
0306238	16/163	6/8
0306249	16/163	6/8
0306251	16/163	6/8
0306269	6/8	14/140
0306285	9400208	1602/7
0306300	9400208	1602/7
0306312	13/005	10/3
0306330	14/140	13/005
0306347	16/163	MRTM1
0306375	16/163	MRTM1
0306405	16/163	MRTM1
0306426	MRTM1	16/163
0306520	16/163	MRTM1
0306551	16/163	MRTM1
0306552	16/163	MRTM1
0306560	16/163	MRTM1
0306562	16/163	MRTM1
0306567	16/163	MRTM1
0306600	MRTM1	16/163
0306607	16/163	MRTM1
0306678	1506/7	9400131
0306738	502/7	9400131
0306820	502/7	9400131
0306825	502/7	9400131
0306906	502/7	9400225
0306909	502/7	9400225
0306936	16/163	6/8
0400106	9400430	10/3
0400120	9400430	10/3
0400148	9400430	10/3
0400155	9400430	10/3
0400206	9400201	16/163
0400238	9400208	16/163
0400283	9400225	16/163
0400310	9400430	10/3
0400339	9400430	10/3
0400359	9400430	10/3
0400393	9400430	6/8
0400396	9400430	6/8
0400397	9400430	6/8
0400411	9400430	6/8
0400421	9400430	10/3
