	ID	Female_parent	Male_parent
42613	9705866A	TL1	EJULU
42614	9705866B	TL1	EJULU
42615	9705866C	TL1	EJULU
42616	9706169A	4/10	12/109
42617	9706173A	4/10	12/109
42618	9706173B	4/10	12/109
42619	9706173C	4/10	12/109
42620	9706174A	4/10	12/109
42621	9706174B	4/10	12/109
42622	9706174C	4/10	12/109
42623	9706177A	4/10	12/109
42624	9706178A	864	6/8
42625	9706178B	864	6/8
42626	9706199A	6/8	864
42627	9706250A	15/10	4/1
42628	9706254A	864	6/8
42629	9706254B	864	6/8
42630	9706303A	6/8	864
42631	9706364A	4/1	303/999
42632	9706364B	4/1	303/999
42633	9706462A	6/8	864
42634	9706462B	6/8	864
42635	9706572A	TL1	EJULU
42636	9706572B	TL1	EJULU
42637	9706572C	TL1	EJULU
42638	9706638A	15/10	4/1
42639	9706638B	15/10	4/1
42640	9706638C	15/10	4/1
42641	9706678A	6/8	864
42642	9706678B	6/8	864
42643	9706678C	6/8	864
42644	9706693A	6/8	864
42645	9707069A	6/8	864
42646	9707069B	6/8	864
42647	9707087A	6/8	864
42648	9707118A	TL1	EJULU
42649	9707118B	TL1	EJULU
42650	9707223A	864	EJULU
42651	9707251A	4/1	303/999
42652	9707296A	6/8	864
42653	9707296B	6/8	864
42654	9707308A	6/8	864
42655	9707398A	1/157	MRTM1
42656	9707398B	1/157	MRTM1
42657	9707529A	1/157	MRTM1
42658	9707737A	6/8	864
42659	9707932A	4/1	303/999
42660	9707932B	4/1	303/999
42661	9708315A	MRTM1	1/157
42662	9708322A	1/157	MRTM1
42663	9708322B	1/157	MRTM1
42664	9708322C	1/157	MRTM1
42665	9708448A	1/157	MRTM1
42666	9708448B	1/157	MRTM1
42667	9708832A	1/80	MRTM1
42668	9708832B	1/80	MRTM1
42669	9708968A	C12	12/109
42670	9708968B	C12	12/109
42671	9708968C	C12	12/109
42672	9708970B	C12	12/109
42673	9708970C	C12	12/109
42674	9708970D	C12	12/109
42675	9708981A	C12	12/109
42676	9709091A	C12	12/109
42677	9709095A	C12	12/109
42678	9709095B	C12	12/109
42679	9709098A	C12	12/109
42680	9709100A	C12	12/109
42681	9709100B	C12	12/109
42682	9709102A	C12	12/109
42683	9709102B	C12	12/109
42684	9709188C	C12	12/109
42685	9709196A	C12	12/109
42686	9709196B	C12	12/109
42687	9709196C	C12	12/109
42688	9709196D	C12	12/109
42689	9709268A	C12	12/109
42690	9709268B	C12	12/109
42691	9709271A	C12	12/109
42692	9709297A	303/577	15/10
42693	9709439A	C12	15/10
42694	9709439B	C12	15/10
42695	9709451A	C12	12/109
42696	9709451B	C12	12/109
42697	9709881A	C12	TL1
42698	9709964A	14/3	15/10
42699	9709964B	14/3	15/10
42700	9709964C	14/3	15/10
